EventCode,group_policy_group,group_policy_option
4740,Account Management,Audit User Account Management
4765,Account Management,Audit User Account Management
4766,Account Management,Audit User Account Management
4767,Account Management,Audit User Account Management
4780,Account Management,Audit User Account Management
4781,Account Management,Audit User Account Management
4794,Account Management,Audit User Account Management
5376,Account Management,Audit User Account Management
5377,Account Management,Audit User Account Management
4774,Account Logon,Audit Credential Validation
4775,Account Logon,Audit Credential Validation
4776,Account Logon,Audit Credential Validation
4777,Account Logon,Audit Credential Validation
4768,Account Logon,Audit Kerberos Authentication Service
4771,Account Logon,Audit Kerberos Authentication Service
4772,Account Logon,Audit Kerberos Authentication Service
4769,Account Logon,Audit Kerberos Service Ticket Operations
4770,Account Logon,Audit Kerberos Service Ticket Operations
4649,Account Logon,Audit Other Account Logon Events
4778,Account Logon,Audit Other Account Logon Events
4779,Account Logon,Audit Other Account Logon Events
4800,Account Logon,Audit Other Account Logon Events
4801,Account Logon,Audit Other Account Logon Events
4802,Account Logon,Audit Other Account Logon Events
4803,Account Logon,Audit Other Account Logon Events
5378,Account Logon,Audit Other Account Logon Events
5632,Account Logon,Audit Other Account Logon Events
5633,Account Logon,Audit Other Account Logon Events
